"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.061049,0.0015225,0,0,1,0,15,0,0.5
0.069293,0.0016413,1.3421e-24,0,1,0.01,15,0.01,0.5
0.077537,0.0017602,2.6842e-24,0,1,0.02,15,0.02,0.5
0.085781,0.0018791,4.0263e-24,0,1,0.03,15,0.03,0.5
0.094025,0.001998,5.3684e-24,0,1,0.04,15,0.04,0.5
0.10227,0.0021168,6.7105e-24,0,1,0.05,15,0.05,0.5
0.11051,0.0022357,8.0525e-24,0,1,0.06,15,0.06,0.5
0.11876,0.0023546,9.3946e-24,0,1,0.07,15,0.07,0.5
0.13121,0.0024711,8.0997e-24,0,1,0.08,15,0.08,0.5
0.14729,0.0025855,4.5339e-24,0,1,0.09,15,0.09,0.5
0.16337,0.0027,9.682e-25,0,1,0.1,15,0.1,0.5
0.17945,0.0028144,-2.5975e-24,0,1,0.11,15,0.11,0.5
0.19553,0.0029289,-6.1633e-24,0,1,0.12,15,0.12,0.5
0.21161,0.0030433,-9.729e-24,0,1,0.13,15,0.13,0.5
0.22769,0.0031578,-1.3295e-23,0,1,0.14,15,0.14,0.5
0.2437,0.0032523,-1.9314e-23,0,1,0.15,15,0.15,0.5
0.25874,0.0030996,-5.5758e-23,0,1,0.16,15,0.16,0.5
0.27379,0.0029469,-9.2201e-23,0,1,0.17,15,0.17,0.5
0.28884,0.0027942,-1.2865e-22,0,1,0.18,15,0.18,0.5
0.30388,0.0026415,-1.6509e-22,0,1,0.19,15,0.19,0.5
0.31893,0.0024888,-2.0153e-22,0,1,0.2,15,0.2,0.5
0.33398,0.0023361,-2.3798e-22,0,1,0.21,15,0.21,0.5
0.34902,0.0021834,-2.7442e-22,0,1,0.22,15,0.22,0.5
0.36319,0.0018941,-2.3881e-22,0,1,0.23,15,0.23,0.5
0.37681,0.0015182,-1.5751e-22,0,1,0.24,15,0.24,0.5
0.39043,0.0011422,-7.6208e-23,0,1,0.25,15,0.25,0.5
0.40404,0.00076632,5.0928e-24,0,1,0.26,15,0.26,0.5
0.41766,0.0003904,8.6394e-23,0,1,0.27,15,0.27,0.5
0.43128,1.4478e-05,1.677e-22,0,1,0.28,15,0.28,0.5
0.44489,-0.00036145,2.49e-22,0,1,0.29,15,0.29,0.5
0.45831,-0.00074057,3.1747e-22,0,1,0.3,15,0.3,0.5
0.47064,-0.0011379,3.1285e-22,0,1,0.31,15,0.31,0.5
0.48296,-0.0015353,3.0823e-22,0,1,0.32,15,0.32,0.5
0.49528,-0.0019327,3.0361e-22,0,1,0.33,15,0.33,0.5
0.50761,-0.00233,2.9899e-22,0,1,0.34,15,0.34,0.5
0.51993,-0.0027274,2.9437e-22,0,1,0.35,15,0.35,0.5
0.53225,-0.0031248,2.8975e-22,0,1,0.36,15,0.36,0.5
0.54458,-0.0035221,2.8513e-22,0,1,0.37,15,0.37,0.5
