# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	-5.051353e+00	9.737420e-01	-8.426156e-02	-5.093483e+00	5.009222e+00
0.1           	-3.870252e+00	7.592110e-01	-3.537296e-02	-3.887938e+00	3.852565e+00
0.15          	-3.336823e+00	6.606210e-01	-1.729802e-02	-3.345472e+00	3.328174e+00
0.2           	-3.042027e+00	6.058521e-01	-7.809425e-03	-3.045932e+00	3.038122e+00
0.25          	-2.840544e+00	5.662113e-01	-6.874457e-03	-2.843982e+00	2.837107e+00
0.3           	-2.706819e+00	5.402864e-01	-5.010618e-03	-2.709324e+00	2.704313e+00
0.35          	-2.620100e+00	5.236074e-01	-3.155082e-03	-2.621678e+00	2.618523e+00
0.4           	-2.563242e+00	5.121974e-01	-3.229378e-03	-2.564856e+00	2.561627e+00
0.45          	-2.531351e+00	5.059451e-01	-2.784896e-03	-2.532743e+00	2.529958e+00
0.5           	-2.517031e+00	5.028388e-01	-3.331495e-03	-2.518697e+00	2.515366e+00
0.55          	-2.506087e+00	5.010374e-01	-2.165741e-03	-2.507170e+00	2.505004e+00
0.6           	-2.502623e+00	5.007110e-01	-1.109108e-03	-2.503177e+00	2.502068e+00
0.65          	-2.503858e+00	5.010391e-01	-7.888192e-04	-2.504253e+00	2.503464e+00
0.7           	-2.511900e+00	5.030353e-01	3.392501e-04	-2.511730e+00	2.512070e+00
0.75          	-2.521814e+00	5.052431e-01	1.088042e-03	-2.521270e+00	2.522358e+00
0.8           	-2.533827e+00	5.080283e-01	2.048643e-03	-2.532803e+00	2.534851e+00
0.85          	-2.539570e+00	5.097784e-01	3.675196e-03	-2.537732e+00	2.541407e+00
0.9           	-2.550406e+00	5.119190e-01	3.651513e-03	-2.548580e+00	2.552232e+00
0.95          	-2.562207e+00	5.143374e-01	3.926562e-03	-2.560244e+00	2.564171e+00
1             	-2.571138e+00	5.160838e-01	3.874553e-03	-2.569200e+00	2.573075e+00
1.05          	-2.582401e+00	5.186565e-01	4.759509e-03	-2.580021e+00	2.584780e+00
1.1           	-2.596481e+00	5.211569e-01	4.145157e-03	-2.594408e+00	2.598553e+00
1.15          	-2.602828e+00	5.225020e-01	4.397718e-03	-2.600630e+00	2.605027e+00
1.2           	-2.614776e+00	5.249185e-01	4.548727e-03	-2.612501e+00	2.617050e+00
1.25          	-2.615558e+00	5.257554e-01	6.309370e-03	-2.612403e+00	2.618713e+00
1.3           	-2.628455e+00	5.280883e-01	5.763589e-03	-2.625573e+00	2.631337e+00
1.35          	-2.636693e+00	5.295300e-01	5.329809e-03	-2.634028e+00	2.639358e+00
1.4           	-2.641960e+00	5.306637e-01	5.561434e-03	-2.639179e+00	2.644741e+00
1.45          	-2.646782e+00	5.321047e-01	6.825069e-03	-2.643370e+00	2.650195e+00
1.5           	-2.651599e+00	5.332876e-01	7.428350e-03	-2.647885e+00	2.655313e+00
1.55          	-2.652571e+00	5.335176e-01	7.558707e-03	-2.648791e+00	2.656350e+00
1.6           	-2.653964e+00	5.341226e-01	8.428175e-03	-2.649750e+00	2.658179e+00
1.65          	-2.655386e+00	5.346110e-01	8.955974e-03	-2.650908e+00	2.659864e+00
1.7           	-2.654507e+00	5.346974e-01	9.642417e-03	-2.649686e+00	2.659328e+00
1.75          	-2.651340e+00	5.343763e-01	1.044648e-02	-2.646116e+00	2.656563e+00
1.8           	-2.646005e+00	5.336449e-01	1.128281e-02	-2.640363e+00	2.651646e+00
1.85          	-2.639401e+00	5.326433e-01	1.207873e-02	-2.633361e+00	2.645440e+00
1.9           	-2.631555e+00	5.315191e-01	1.319117e-02	-2.624960e+00	2.638151e+00
1.95          	-2.625133e+00	5.304907e-01	1.383246e-02	-2.618217e+00	2.632049e+00
2             	-2.618180e+00	5.294801e-01	1.477128e-02	-2.610794e+00	2.625565e+00
2.05          	-2.608851e+00	5.278553e-01	1.536912e-02	-2.601167e+00	2.616536e+00
2.1           	-2.599011e+00	5.263032e-01	1.639655e-02	-2.590813e+00	2.607209e+00
2.15          	-2.588976e+00	5.246858e-01	1.735951e-02	-2.580297e+00	2.597656e+00
2.2           	-2.577942e+00	5.228478e-01	1.828094e-02	-2.568802e+00	2.587083e+00
2.25          	-2.568072e+00	5.212513e-01	1.920976e-02	-2.558468e+00	2.577677e+00
2.3           	-2.556984e+00	5.193797e-01	2.007239e-02	-2.546948e+00	2.567020e+00
2.35          	-2.547009e+00	5.178107e-01	2.113366e-02	-2.536443e+00	2.557576e+00
2.4           	-2.536952e+00	5.161419e-01	2.199367e-02	-2.525955e+00	2.547949e+00
2.45          	-2.527384e+00	5.145561e-01	2.281534e-02	-2.515976e+00	2.538792e+00
2.5           	-2.517999e+00	5.129958e-01	2.361098e-02	-2.506193e+00	2.529804e+00
2.55          	-2.508867e+00	5.114798e-01	2.439320e-02	-2.496670e+00	2.521064e+00
2.6           	-2.500212e+00	5.100049e-01	2.504044e-02	-2.487692e+00	2.512732e+00
2.65          	-2.492531e+00	5.086820e-01	2.558114e-02	-2.479740e+00	2.505321e+00
2.7           	-2.484694e+00	5.073325e-01	2.613773e-02	-2.471625e+00	2.497762e+00
2.75          	-2.476932e+00	5.060066e-01	2.671308e-02	-2.463575e+00	2.490288e+00
2.8           	-2.469185e+00	5.047091e-01	2.735434e-02	-2.455508e+00	2.482863e+00
2.85          	-2.462106e+00	5.035035e-01	2.789145e-02	-2.448160e+00	2.476052e+00
2.9           	-2.455313e+00	5.023351e-01	2.837752e-02	-2.441124e+00	2.469502e+00
