# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((7.130788e-01 -1.199338e-01 3.978564e-20) (4.797551e-01 1.671335e-02 -4.516880e-21)) ((2.998344e-02 1.782697e-01 -3.812029e+00) (-4.178336e-03 1.199388e-01 -2.375878e+00))
0.1           	((5.832265e-01 -5.289975e-02 2.073460e-20) (3.468070e-01 9.567875e-03 -4.258675e-21)) ((1.322494e-02 1.458066e-01 -3.025100e+00) (-2.391969e-03 8.670176e-02 -1.715959e+00))
0.15          	((5.337481e-01 -2.811846e-02 6.868242e-21) (2.755126e-01 6.928380e-03 -5.510041e-21)) ((7.029615e-03 1.334370e-01 -2.725878e+00) (-1.732095e-03 6.887815e-02 -1.361730e+00))
0.2           	((5.110276e-01 -1.657928e-02 -3.300976e-21) (2.311412e-01 7.012737e-03 -6.396156e-21)) ((4.144821e-03 1.277569e-01 -2.587576e+00) (-1.753184e-03 5.778530e-02 -1.138907e+00))
0.25          	((4.929832e-01 -1.616351e-02 -7.957718e-21) (2.006256e-01 7.742296e-03 -6.756203e-21)) ((4.040876e-03 1.232458e-01 -2.494785e+00) (-1.935574e-03 5.015640e-02 -9.848820e-01))
0.3           	((4.832341e-01 -1.448547e-02 -1.213619e-20) (1.786168e-01 8.347465e-03 -6.478180e-21)) ((3.621368e-03 1.208085e-01 -2.441867e+00) (-2.086866e-03 4.465419e-02 -8.739860e-01))
0.35          	((4.794111e-01 -1.241042e-02 -1.483530e-20) (1.620080e-01 8.545444e-03 -6.208755e-21)) ((3.102605e-03 1.198528e-01 -2.418627e+00) (-2.136361e-03 4.050201e-02 -7.909959e-01))
0.4           	((4.783814e-01 -1.253550e-02 -1.325621e-20) (1.490603e-01 8.579517e-03 -5.968733e-21)) ((3.133876e-03 1.195954e-01 -2.413402e+00) (-2.144879e-03 3.726509e-02 -7.265686e-01))
0.45          	((4.812239e-01 -1.206964e-02 -1.324029e-20) (1.385589e-01 8.658141e-03 -5.621120e-21)) ((3.017410e-03 1.203060e-01 -2.426674e+00) (-2.164535e-03 3.463973e-02 -6.742304e-01))
0.5           	((4.858498e-01 -1.290930e-02 -1.284279e-20) (1.301277e-01 8.828223e-03 -5.333249e-21)) ((3.227326e-03 1.214625e-01 -2.451367e+00) (-2.207056e-03 3.253193e-02 -6.319962e-01))
0.55          	((4.906452e-01 -1.154368e-02 -1.179335e-20) (1.231257e-01 8.890652e-03 -5.032607e-21)) ((2.885921e-03 1.226613e-01 -2.472876e+00) (-2.222663e-03 3.078141e-02 -5.970813e-01))
0.6           	((4.960908e-01 -1.023047e-02 -1.080330e-20) (1.172802e-01 8.871808e-03 -4.710191e-21)) ((2.557616e-03 1.240227e-01 -2.497648e+00) (-2.217952e-03 2.932004e-02 -5.680654e-01))
0.65          	((5.014334e-01 -9.781762e-03 -1.054966e-20) (1.123396e-01 8.815459e-03 -4.406519e-21)) ((2.445441e-03 1.253583e-01 -2.523604e+00) (-2.203865e-03 2.808489e-02 -5.436228e-01))
0.7           	((5.079709e-01 -8.285749e-03 -9.380793e-21) (1.082474e-01 8.701330e-03 -4.178212e-21)) ((2.071437e-03 1.269927e-01 -2.553569e+00) (-2.175332e-03 2.706184e-02 -5.235085e-01))
0.75          	((5.141028e-01 -7.274985e-03 -9.830048e-21) (1.048200e-01 8.607837e-03 -4.008658e-21)) ((1.818746e-03 1.285257e-01 -2.582566e+00) (-2.151959e-03 2.620499e-02 -5.066555e-01))
0.8           	((5.204690e-01 -6.032160e-03 -9.546093e-21) (1.018656e-01 8.541747e-03 -4.002110e-21)) ((1.508040e-03 1.301173e-01 -2.611835e+00) (-2.135437e-03 2.546640e-02 -4.921033e-01))
