# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((5.770616e+00 -9.838679e-01 -2.714397e-18) (1.009265e+00 1.385650e-01 -2.561102e-21)) ((2.459670e-01 1.442654e+00 -3.075265e+01) (-3.464126e-02 2.523162e-01 -4.776528e+00))
0.1           	((5.954431e+00 -8.327980e-01 -3.827176e-18) (8.610781e-01 1.449613e-01 -6.829951e-20)) ((2.081995e-01 1.488608e+00 -3.129377e+01) (-3.624031e-02 2.152695e-01 -4.014691e+00))
0.15          	((6.609243e+00 -9.142348e-01 -3.767772e-18) (7.402046e-01 1.051081e-01 -9.640480e-20)) ((2.285587e-01 1.652311e+00 -3.470013e+01) (-2.627703e-02 1.850512e-01 -3.487507e+00))
0.2           	((7.371854e+00 -8.313938e-01 -2.772134e-18) (6.362987e-01 9.330902e-02 -1.107453e-19)) ((2.078485e-01 1.842963e+00 -3.834418e+01) (-2.332725e-02 1.590747e-01 -2.999485e+00))
0.25          	((8.236121e+00 -9.100677e-01 -1.847203e-18) (5.389825e-01 8.625567e-02 -1.468184e-19)) ((2.275169e-01 2.059030e+00 -4.285220e+01) (-2.156392e-02 1.347456e-01 -2.538810e+00))
0.3           	((8.824839e+00 -8.729762e-01 -1.074446e-18) (4.417626e-01 7.063211e-02 -1.767056e-19)) ((2.182440e-01 2.206210e+00 -4.577817e+01) (-1.765803e-02 1.104407e-01 -2.093757e+00))
0.35          	((9.333727e+00 -1.048835e+00 -7.820896e-19) (3.548113e-01 5.216499e-02 -1.905962e-19)) ((2.622088e-01 2.333432e+00 -4.867657e+01) (-1.304125e-02 8.870284e-02 -1.707926e+00))
0.4           	((9.923036e+00 -1.199006e+00 6.376326e-22) (2.716986e-01 5.103395e-02 -1.825486e-19)) ((2.997516e-01 2.480759e+00 -5.194314e+01) (-1.275849e-02 6.792465e-02 -1.310390e+00))
0.45          	((1.041222e+01 -1.067597e+00 1.256201e-18) (2.047510e-01 6.827561e-02 -1.600856e-19)) ((2.668994e-01 2.603054e+00 -5.423825e+01) (-1.706890e-02 5.118774e-02 -9.576710e-01))
0.5           	((1.063079e+01 -6.920053e-01 2.135589e-18) (1.685957e-01 7.659808e-02 -1.238963e-19)) ((1.730013e-01 2.657697e+00 -5.467121e+01) (-1.914952e-02 4.214894e-02 -7.669892e-01))
0.55          	((1.074279e+01 -1.458216e-01 2.732701e-18) (1.509802e-01 7.190596e-02 -9.394583e-20)) ((3.645541e-02 2.685697e+00 -5.418588e+01) (-1.797649e-02 3.774506e-02 -6.842627e-01))
0.6           	((1.058997e+01 3.307267e-01 2.872564e-18) (1.491004e-01 5.644227e-02 -7.662764e-20)) ((-8.268168e-02 2.647492e+00 -5.249148e+01) (-1.411057e-02 3.727511e-02 -6.959661e-01))
0.65          	((1.032627e+01 7.583290e-01 2.857244e-18) (1.598298e-01 3.818821e-02 -6.876652e-20)) ((-1.895823e-01 2.581568e+00 -5.033368e+01) (-9.547053e-03 3.995745e-02 -7.757986e-01))
0.7           	((9.995350e+00 1.169182e+00 2.764290e-18) (1.728671e-01 2.676801e-02 -6.486344e-20)) ((-2.922955e-01 2.498838e+00 -4.784749e+01) (-6.692002e-03 4.321677e-02 -8.548209e-01))
0.75          	((9.658218e+00 1.684142e+00 2.878144e-18) (1.813647e-01 2.793393e-02 -6.224000e-20)) ((-4.210355e-01 2.414554e+00 -4.510364e+01) (-6.983483e-03 4.534117e-02 -8.867056e-01))
0.8           	((9.298527e+00 2.261019e+00 3.077799e-18) (1.861205e-01 3.731523e-02 -5.950294e-20)) ((-5.652547e-01 2.324632e+00 -4.210589e+01) (-9.328807e-03 4.653013e-02 -8.841736e-01))
0.85          	((9.032652e+00 2.788617e+00 3.319343e-18) (1.888223e-01 5.100409e-02 -5.685274e-20)) ((-6.971542e-01 2.258163e+00 -3.966387e+01) (-1.275102e-02 4.720557e-02 -8.638741e-01))
0.9           	((8.811947e+00 3.172473e+00 3.538086e-18) (1.900287e-01 6.859239e-02 -5.564305e-20)) ((-7.931183e-01 2.202987e+00 -3.773990e+01) (-1.714810e-02 4.750716e-02 -8.294086e-01))
0.95          	((8.651674e+00 3.503203e+00 3.749024e-18) (1.901901e-01 9.033288e-02 -5.686313e-20)) ((-8.758008e-01 2.162919e+00 -3.621289e+01) (-2.258322e-02 4.754752e-02 -7.819472e-01))
1             	((8.585838e+00 3.504266e+00 3.731824e-18) (1.895482e-01 1.172075e-01 -5.890839e-20)) ((-8.760664e-01 2.146460e+00 -3.584978e+01) (-2.930188e-02 4.738704e-02 -7.196593e-01))
1.05          	((8.558337e+00 3.638763e+00 3.795799e-18) (1.890468e-01 1.481262e-01 -6.286860e-20)) ((-9.096908e-01 2.139584e+00 -3.538404e+01) (-3.703154e-02 4.726169e-02 -6.498491e-01))
1.1           	((8.557362e+00 3.742901e+00 3.820511e-18) (1.915954e-01 1.803073e-01 -6.731805e-20)) ((-9.357253e-01 2.139341e+00 -3.511424e+01) (-4.507681e-02 4.789886e-02 -5.928508e-01))
1.15          	((8.585854e+00 3.606718e+00 3.650833e-18) (1.977737e-01 2.119687e-01 -7.101517e-20)) ((-9.016796e-01 2.146463e+00 -3.550921e+01) (-5.299217e-02 4.944343e-02 -5.548223e-01))
1.2           	((8.570247e+00 3.383729e+00 3.300532e-18) (2.072046e-01 2.390927e-01 -7.386995e-20)) ((-8.459323e-01 2.142562e+00 -3.584752e+01) (-5.977316e-02 5.180114e-02 -5.419828e-01))
1.25          	((8.573859e+00 2.989083e+00 2.765779e-18) (2.196641e-01 2.587988e-01 -7.559205e-20)) ((-7.472707e-01 2.143465e+00 -3.664329e+01) (-6.469970e-02 5.491603e-02 -5.595158e-01))
1.3           	((8.522603e+00 2.484040e+00 2.065640e-18) (2.340775e-01 2.689289e-01 -7.572662e-20)) ((-6.210099e-01 2.130651e+00 -3.738909e+01) (-6.723223e-02 5.851937e-02 -6.067348e-01))
1.35          	((8.452855e+00 1.844163e+00 1.211172e-18) (2.499716e-01 2.676848e-01 -7.535288e-20)) ((-4.610408e-01 2.113214e+00 -3.831839e+01) (-6.692119e-02 6.249290e-02 -6.854524e-01))
1.4           	((8.339066e+00 9.724547e-01 8.911565e-20) (2.655631e-01 2.554271e-01 -7.381604e-20)) ((-2.431137e-01 2.084767e+00 -3.949711e+01) (-6.385677e-02 6.639077e-02 -7.857410e-01))
1.45          	((8.231453e+00 -2.747337e-02 -1.184690e-18) (2.795382e-01 2.336332e-01 -7.144877e-20)) ((6.868342e-03 2.057863e+00 -4.096823e+01) (-5.840831e-02 6.988456e-02 -8.976888e-01))
1.5           	((8.136809e+00 -1.146167e+00 -2.617409e-18) (2.905939e-01 2.034482e-01 -6.828221e-20)) ((2.865418e-01 2.034202e+00 -4.274491e+01) (-5.086205e-02 7.264848e-02 -1.012362e+00))
1.55          	((8.087510e+00 -2.324750e+00 -4.113486e-18) (2.982828e-01 1.657615e-01 -6.440963e-20)) ((5.811874e-01 2.021878e+00 -4.487079e+01) (-4.144037e-02 7.457069e-02 -1.126114e+00))
1.6           	((8.101997e+00 -3.532306e+00 -5.604611e-18) (3.019416e-01 1.223247e-01 -5.958574e-20)) ((8.830764e-01 2.025499e+00 -4.738259e+01) (-3.058119e-02 7.548541e-02 -1.232632e+00))
1.65          	((8.192418e+00 -4.567678e+00 -6.799510e-18) (3.026965e-01 7.391249e-02 -5.456242e-20)) ((1.141920e+00 2.048104e+00 -4.994212e+01) (-1.847812e-02 7.567413e-02 -1.336902e+00))
1.7           	((8.403117e+00 -5.540879e+00 -7.733869e-18) (3.018168e-01 2.339653e-02 -5.019337e-20)) ((1.385220e+00 2.100779e+00 -5.299988e+01) (-5.849133e-03 7.545421e-02 -1.440217e+00))
1.75          	((8.727867e+00 -6.144956e+00 -8.184167e-18) (3.024529e-01 -2.754977e-02 -4.688482e-20)) ((1.536239e+00 2.181967e+00 -5.587928e+01) (6.887442e-03 7.561323e-02 -1.555886e+00))
1.8           	((9.063406e+00 -6.476169e+00 -8.119924e-18) (3.087080e-01 -7.489882e-02 -4.467412e-20)) ((1.619042e+00 2.265851e+00 -5.828859e+01) (1.872470e-02 7.717699e-02 -1.695901e+00))
1.85          	((9.495734e+00 -6.251096e+00 -7.374460e-18) (3.240303e-01 -1.143030e-01 -4.636103e-20)) ((1.562774e+00 2.373934e+00 -6.005234e+01) (2.857576e-02 8.100757e-02 -1.867736e+00))
1.9           	((9.907663e+00 -5.670709e+00 -6.202014e-18) (3.448853e-01 -1.415069e-01 -5.049555e-20)) ((1.417677e+00 2.476916e+00 -6.099667e+01) (3.537674e-02 8.622133e-02 -2.042844e+00))
1.95          	((1.010519e+01 -5.062255e+00 -4.936971e-18) (3.644925e-01 -1.529902e-01 -5.181019e-20)) ((1.265564e+00 2.526297e+00 -6.083769e+01) (3.824755e-02 9.112313e-02 -2.177580e+00))
