# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
40            	((9.237377e-03 -2.284924e-04 1.116590e-22) (4.647149e-03 5.262796e-05 -8.503038e-23)) ((5.712311e-05 2.309344e-03 -4.658419e-02) (-1.315699e-05 1.161787e-03 -2.318507e-02))
40.05         	((9.237297e-03 -2.285436e-04 1.116489e-22) (4.647080e-03 5.261770e-05 -8.504497e-23)) ((5.713590e-05 2.309324e-03 -4.658389e-02) (-1.315443e-05 1.161770e-03 -2.318474e-02))
40.1          	((9.237158e-03 -2.285282e-04 1.116469e-22) (4.647008e-03 5.260657e-05 -8.504671e-23)) ((5.713206e-05 2.309290e-03 -4.658317e-02) (-1.315164e-05 1.161752e-03 -2.318441e-02))
40.15         	((9.237057e-03 -2.285251e-04 1.116245e-22) (4.646937e-03 5.259631e-05 -8.505985e-23)) ((5.713126e-05 2.309264e-03 -4.658266e-02) (-1.314908e-05 1.161734e-03 -2.318407e-02))
40.2          	((9.236953e-03 -2.285349e-04 1.116101e-22) (4.646866e-03 5.258632e-05 -8.507053e-23)) ((5.713372e-05 2.309238e-03 -4.658216e-02) (-1.314658e-05 1.161716e-03 -2.318373e-02))
40.25         	((9.236817e-03 -2.285426e-04 1.116082e-22) (4.646795e-03 5.257628e-05 -8.507472e-23)) ((5.713565e-05 2.309204e-03 -4.658149e-02) (-1.314407e-05 1.161699e-03 -2.318340e-02))
40.3          	((9.236711e-03 -2.285476e-04 1.115805e-22) (4.646725e-03 5.256642e-05 -8.509131e-23)) ((5.713690e-05 2.309178e-03 -4.658098e-02) (-1.314160e-05 1.161681e-03 -2.318307e-02))
40.35         	((9.236607e-03 -2.285544e-04 1.115960e-22) (4.646655e-03 5.255667e-05 -8.508740e-23)) ((5.713860e-05 2.309152e-03 -4.658047e-02) (-1.313917e-05 1.161664e-03 -2.318274e-02))
40.4          	((9.236478e-03 -2.285584e-04 1.115738e-22) (4.646585e-03 5.254701e-05 -8.510114e-23)) ((5.713960e-05 2.309120e-03 -4.657984e-02) (-1.313675e-05 1.161646e-03 -2.318240e-02))
40.45         	((9.236366e-03 -2.285733e-04 1.115519e-22) (4.646515e-03 5.253738e-05 -8.511605e-23)) ((5.714333e-05 2.309092e-03 -4.657931e-02) (-1.313435e-05 1.161629e-03 -2.318208e-02))
40.5          	((9.236272e-03 -2.285787e-04 1.115599e-22) (4.646446e-03 5.252765e-05 -8.511551e-23)) ((5.714467e-05 2.309068e-03 -4.657885e-02) (-1.313191e-05 1.161612e-03 -2.318175e-02))
40.55         	((9.236148e-03 -2.285824e-04 1.115390e-22) (4.646377e-03 5.251810e-05 -8.512860e-23)) ((5.714561e-05 2.309037e-03 -4.657824e-02) (-1.312952e-05 1.161594e-03 -2.318142e-02))
40.6          	((9.236014e-03 -2.285871e-04 1.115221e-22) (4.646309e-03 5.250863e-05 -8.514008e-23)) ((5.714677e-05 2.309004e-03 -4.657758e-02) (-1.312716e-05 1.161577e-03 -2.318110e-02))
40.65         	((9.235937e-03 -2.285940e-04 1.115268e-22) (4.646240e-03 5.249920e-05 -8.514127e-23)) ((5.714851e-05 2.308984e-03 -4.657721e-02) (-1.312480e-05 1.161560e-03 -2.318078e-02))
40.7          	((9.235808e-03 -2.286013e-04 1.115158e-22) (4.646173e-03 5.248986e-05 -8.514998e-23)) ((5.715032e-05 2.308952e-03 -4.657658e-02) (-1.312247e-05 1.161543e-03 -2.318046e-02))
40.75         	((9.235726e-03 -2.286050e-04 1.114996e-22) (4.646105e-03 5.248057e-05 -8.516102e-23)) ((5.715125e-05 2.308931e-03 -4.657618e-02) (-1.312014e-05 1.161526e-03 -2.318014e-02))
40.8          	((9.235603e-03 -2.286123e-04 1.114994e-22) (4.646038e-03 5.247138e-05 -8.516470e-23)) ((5.715308e-05 2.308901e-03 -4.657558e-02) (-1.311784e-05 1.161509e-03 -2.317982e-02))
40.85         	((9.235500e-03 -2.286192e-04 1.114953e-22) (4.645970e-03 5.246231e-05 -8.516992e-23)) ((5.715479e-05 2.308875e-03 -4.657508e-02) (-1.311558e-05 1.161493e-03 -2.317950e-02))
40.9          	((9.235363e-03 -2.286282e-04 1.114691e-22) (4.645904e-03 5.245313e-05 -8.518622e-23)) ((5.715704e-05 2.308841e-03 -4.657442e-02) (-1.311328e-05 1.161476e-03 -2.317918e-02))
40.95         	((9.235256e-03 -2.286350e-04 1.114519e-22) (4.645837e-03 5.244405e-05 -8.519783e-23)) ((5.715876e-05 2.308814e-03 -4.657390e-02) (-1.311101e-05 1.161459e-03 -2.317887e-02))
41            	((9.235155e-03 -2.286301e-04 1.114535e-22) (4.645771e-03 5.243512e-05 -8.519971e-23)) ((5.715753e-05 2.308789e-03 -4.657339e-02) (-1.310878e-05 1.161443e-03 -2.317856e-02))
41.05         	((9.235058e-03 -2.286487e-04 1.114465e-22) (4.645706e-03 5.242595e-05 -8.520758e-23)) ((5.716217e-05 2.308765e-03 -4.657294e-02) (-1.310649e-05 1.161427e-03 -2.317825e-02))
41.1          	((9.234952e-03 -2.286555e-04 1.114191e-22) (4.645641e-03 5.241701e-05 -8.522448e-23)) ((5.716388e-05 2.308738e-03 -4.657242e-02) (-1.310425e-05 1.161410e-03 -2.317794e-02))
41.15         	((9.234872e-03 -2.286547e-04 1.114161e-22) (4.645575e-03 5.240819e-05 -8.522947e-23)) ((5.716368e-05 2.308718e-03 -4.657202e-02) (-1.310205e-05 1.161394e-03 -2.317763e-02))
41.2          	((9.234741e-03 -2.286750e-04 1.113932e-22) (4.645511e-03 5.239942e-05 -8.524438e-23)) ((5.716876e-05 2.308685e-03 -4.657141e-02) (-1.309986e-05 1.161378e-03 -2.317733e-02))
41.25         	((9.234644e-03 -2.286642e-04 1.114171e-22) (4.645446e-03 5.239084e-05 -8.523534e-23)) ((5.716605e-05 2.308661e-03 -4.657090e-02) (-1.309771e-05 1.161361e-03 -2.317702e-02))
41.3          	((9.234540e-03 -2.286581e-04 1.113791e-22) (4.645381e-03 5.238236e-05 -8.525562e-23)) ((5.716452e-05 2.308635e-03 -4.657037e-02) (-1.309559e-05 1.161345e-03 -2.317671e-02))
41.35         	((9.234448e-03 -2.286790e-04 1.113627e-22) (4.645318e-03 5.237373e-05 -8.526692e-23)) ((5.716974e-05 2.308612e-03 -4.656995e-02) (-1.309343e-05 1.161329e-03 -2.317641e-02))
41.4          	((9.234339e-03 -2.286896e-04 1.113694e-22) (4.645254e-03 5.236518e-05 -8.526774e-23)) ((5.717241e-05 2.308585e-03 -4.656943e-02) (-1.309130e-05 1.161313e-03 -2.317611e-02))
41.45         	((9.234221e-03 -2.286818e-04 1.113605e-22) (4.645190e-03 5.235653e-05 -8.527554e-23)) ((5.717044e-05 2.308555e-03 -4.656883e-02) (-1.308913e-05 1.161298e-03 -2.317581e-02))
41.5          	((9.234128e-03 -2.286859e-04 1.113465e-22) (4.645127e-03 5.234807e-05 -8.528517e-23)) ((5.717148e-05 2.308532e-03 -4.656837e-02) (-1.308702e-05 1.161282e-03 -2.317551e-02))
41.55         	((9.234012e-03 -2.286883e-04 1.113413e-22) (4.645064e-03 5.233970e-05 -8.529069e-23)) ((5.717207e-05 2.308503e-03 -4.656780e-02) (-1.308493e-05 1.161266e-03 -2.317521e-02))
41.6          	((9.233897e-03 -2.286915e-04 1.113253e-22) (4.645001e-03 5.233141e-05 -8.530137e-23)) ((5.717287e-05 2.308474e-03 -4.656723e-02) (-1.308285e-05 1.161250e-03 -2.317491e-02))
41.65         	((9.233819e-03 -2.287075e-04 1.113313e-22) (4.644939e-03 5.232316e-05 -8.530286e-23)) ((5.717687e-05 2.308455e-03 -4.656687e-02) (-1.308079e-05 1.161235e-03 -2.317462e-02))
41.7          	((9.233685e-03 -2.287027e-04 1.112980e-22) (4.644876e-03 5.231500e-05 -8.532110e-23)) ((5.717568e-05 2.308421e-03 -4.656620e-02) (-1.307875e-05 1.161219e-03 -2.317432e-02))
41.75         	((9.233619e-03 -2.286987e-04 1.113078e-22) (4.644815e-03 5.230692e-05 -8.531907e-23)) ((5.717468e-05 2.308405e-03 -4.656586e-02) (-1.307673e-05 1.161204e-03 -2.317403e-02))
41.8          	((9.233498e-03 -2.287040e-04 1.112887e-22) (4.644753e-03 5.229889e-05 -8.533119e-23)) ((5.717599e-05 2.308374e-03 -4.656527e-02) (-1.307472e-05 1.161188e-03 -2.317374e-02))
41.85         	((9.233409e-03 -2.287057e-04 1.112561e-22) (4.644692e-03 5.229093e-05 -8.535001e-23)) ((5.717641e-05 2.308352e-03 -4.656483e-02) (-1.307273e-05 1.161173e-03 -2.317345e-02))
41.9          	((9.233288e-03 -2.287082e-04 1.112730e-22) (4.644630e-03 5.228304e-05 -8.534475e-23)) ((5.717706e-05 2.308322e-03 -4.656423e-02) (-1.307076e-05 1.161158e-03 -2.317316e-02))
41.95         	((9.233187e-03 -2.287092e-04 1.112609e-22) (4.644570e-03 5.227522e-05 -8.535340e-23)) ((5.717730e-05 2.308297e-03 -4.656373e-02) (-1.306881e-05 1.161142e-03 -2.317287e-02))
42            	((9.233125e-03 -2.287101e-04 1.112676e-22) (4.644509e-03 5.226747e-05 -8.535287e-23)) ((5.717754e-05 2.308281e-03 -4.656342e-02) (-1.306687e-05 1.161127e-03 -2.317258e-02))
42.05         	((9.233000e-03 -2.287146e-04 1.112330e-22) (4.644449e-03 5.225977e-05 -8.537272e-23)) ((5.717866e-05 2.308250e-03 -4.656281e-02) (-1.306494e-05 1.161112e-03 -2.317230e-02))
42.1          	((9.232920e-03 -2.287157e-04 1.112335e-22) (4.644389e-03 5.225215e-05 -8.537506e-23)) ((5.717892e-05 2.308230e-03 -4.656241e-02) (-1.306304e-05 1.161097e-03 -2.317201e-02))
42.15         	((9.232796e-03 -2.287171e-04 1.112239e-22) (4.644329e-03 5.224457e-05 -8.538273e-23)) ((5.717927e-05 2.308199e-03 -4.656179e-02) (-1.306114e-05 1.161082e-03 -2.317173e-02))
42.2          	((9.232723e-03 -2.287190e-04 1.112042e-22) (4.644270e-03 5.223707e-05 -8.539501e-23)) ((5.717976e-05 2.308181e-03 -4.656144e-02) (-1.305927e-05 1.161067e-03 -2.317145e-02))
42.25         	((9.232629e-03 -2.287200e-04 1.112059e-22) (4.644211e-03 5.222963e-05 -8.539675e-23)) ((5.717999e-05 2.308157e-03 -4.656097e-02) (-1.305741e-05 1.161053e-03 -2.317117e-02))
42.3          	((9.232526e-03 -2.287218e-04 1.112150e-22) (4.644152e-03 5.222226e-05 -8.539547e-23)) ((5.718044e-05 2.308132e-03 -4.656046e-02) (-1.305557e-05 1.161038e-03 -2.317089e-02))
42.35         	((9.232403e-03 -2.287218e-04 1.111842e-22) (4.644093e-03 5.221497e-05 -8.541271e-23)) ((5.718046e-05 2.308101e-03 -4.655985e-02) (-1.305374e-05 1.161023e-03 -2.317061e-02))
42.4          	((9.232350e-03 -2.287187e-04 1.111637e-22) (4.644035e-03 5.220776e-05 -8.542500e-23)) ((5.717967e-05 2.308087e-03 -4.655958e-02) (-1.305194e-05 1.161009e-03 -2.317033e-02))
42.45         	((9.232252e-03 -2.287254e-04 1.111696e-22) (4.643977e-03 5.220045e-05 -8.542532e-23)) ((5.718135e-05 2.308063e-03 -4.655910e-02) (-1.305011e-05 1.160994e-03 -2.317006e-02))
42.5          	((9.232147e-03 -2.287256e-04 1.111537e-22) (4.643919e-03 5.219326e-05 -8.543556e-23)) ((5.718140e-05 2.308037e-03 -4.655858e-02) (-1.304831e-05 1.160980e-03 -2.316978e-02))
42.55         	((9.232031e-03 -2.287287e-04 1.111355e-22) (4.643861e-03 5.218613e-05 -8.544737e-23)) ((5.718217e-05 2.308008e-03 -4.655800e-02) (-1.304653e-05 1.160965e-03 -2.316951e-02))
42.6          	((9.231961e-03 -2.287299e-04 1.111385e-22) (4.643804e-03 5.217908e-05 -8.544857e-23)) ((5.718249e-05 2.307990e-03 -4.655766e-02) (-1.304477e-05 1.160951e-03 -2.316924e-02))
42.65         	((9.231864e-03 -2.287281e-04 1.111319e-22) (4.643747e-03 5.217209e-05 -8.545416e-23)) ((5.718204e-05 2.307966e-03 -4.655717e-02) (-1.304302e-05 1.160937e-03 -2.316896e-02))
42.7          	((9.231748e-03 -2.287261e-04 1.111085e-22) (4.643690e-03 5.216522e-05 -8.546788e-23)) ((5.718154e-05 2.307937e-03 -4.655659e-02) (-1.304131e-05 1.160923e-03 -2.316869e-02))
42.75         	((9.231656e-03 -2.287264e-04 1.111034e-22) (4.643633e-03 5.215842e-05 -8.547283e-23)) ((5.718160e-05 2.307914e-03 -4.655613e-02) (-1.303960e-05 1.160908e-03 -2.316842e-02))
42.8          	((9.231570e-03 -2.287293e-04 1.110964e-22) (4.643577e-03 5.215165e-05 -8.547916e-23)) ((5.718232e-05 2.307893e-03 -4.655571e-02) (-1.303791e-05 1.160894e-03 -2.316816e-02))
42.85         	((9.231480e-03 -2.287284e-04 1.110780e-22) (4.643521e-03 5.214495e-05 -8.549055e-23)) ((5.718210e-05 2.307870e-03 -4.655526e-02) (-1.303624e-05 1.160880e-03 -2.316789e-02))
42.9          	((9.231403e-03 -2.287282e-04 1.110794e-22) (4.643465e-03 5.213829e-05 -8.549239e-23)) ((5.718205e-05 2.307851e-03 -4.655487e-02) (-1.303457e-05 1.160866e-03 -2.316762e-02))
42.95         	((9.231299e-03 -2.287272e-04 1.110500e-22) (4.643409e-03 5.213170e-05 -8.550889e-23)) ((5.718180e-05 2.307825e-03 -4.655435e-02) (-1.303293e-05 1.160852e-03 -2.316736e-02))
43            	((9.231208e-03 -2.287246e-04 1.110557e-22) (4.643354e-03 5.212518e-05 -8.550851e-23)) ((5.718116e-05 2.307802e-03 -4.655389e-02) (-1.303130e-05 1.160838e-03 -2.316710e-02))
43.05         	((9.231110e-03 -2.287303e-04 1.110355e-22) (4.643299e-03 5.211871e-05 -8.552094e-23)) ((5.718257e-05 2.307777e-03 -4.655342e-02) (-1.302968e-05 1.160825e-03 -2.316683e-02))
